name,genre,year_of_release,publisher,sales,critic_score,user_score,developer,rating,platform,min_age
Samurai Warriors,Action,2004,Electronic Arts,1.35,73,8.7,Omega Force,T,PS2,13
Battlefield 4,Shooter,2013,Electronic Arts,1.35,81,6,EA,M,PC,17
FIFA Soccer 08,Sports,2007,Electronic Arts,1.35,79,7.4,EA,E,PSP,0
FIFA Soccer 09,Sports,2008,Electronic Arts,1.35,84,8.9,EA,E,PSP,0
FIFA Soccer 08,Sports,2007,Electronic Arts,1.35,82,7.9,EA,E,X360,0
Devil May Cry 4,Action,2008,Capcom,1.34,84,8,Capcom,M,X360,17
Tom Clancy's Rainbow Six: Vegas 2,Shooter,2008,Ubisoft,1.34,81,7.9,Ubisoft,M,PS3,17
Marvel vs. Capcom 3: Fate of Two Worlds,Fighting,2011,Capcom,1.34,84,7.3,Capcom,T,PS3,13
Doom 3,Shooter,2005,Activision,1.34,88,7.4,Vicarious Visions,M,XB,17
Tom Clancy's Rainbow Six: Siege,Shooter,2015,Ubisoft,1.34,74,6.9,Ubisoft,M,XOne,17
Monster Hunter Freedom,Role-Playing,2005,Capcom,1.34,71,8.6,Capcom,T,PSP,13
Donkey Kong Jungle Beat,Platform,2004,Nintendo,1.34,80,8.3,Nintendo,E10+,GC,10
Need for Speed Carbon,Racing,2006,Electronic Arts,1.34,74,8.4,EA,E10+,PS2,10
Lost Planet: Extreme Condition,Shooter,2006,Capcom,1.34,79,7.1,Capcom,T,X360,13
Battlefield: Bad Company,Shooter,2008,Electronic Arts,1.34,84,8.1,EA,T,PS3,13
MVP Baseball 2004,Sports,2004,Electronic Arts,1.34,90,8.6,EA,E,PS2,0
WWE SmackDown vs Raw 2008,Fighting,2007,Other,1.33,74,7.3,Yuke's,T,PS3,13
Skylanders SWAP Force,Platform,2013,Activision,1.32,83,5.7,Vicarious Visions,E10+,X360,10
UFC Undisputed 2010,Fighting,2010,Other,1.32,84,6.7,Yuke's,T,X360,13
NFL 2K3,Sports,2002,Other,1.32,93,7.4,Visual Concepts,E,PS2,0
Assassin's Creed III: Liberation,Action,2012,Ubisoft,1.32,70,7.2,Ubisoft,M,PSV,17
Your Shape: Fitness Evolved,Sports,2010,Ubisoft,1.32,73,7.5,Ubisoft,E,X360,0
LEGO Harry Potter: Years 1-4,Action,2010,Warner Bros. Interactive Entertainment,1.31,79,8,Traveller's Tales,E10+,PS3,10
NBA Live 07,Sports,2006,Electronic Arts,1.3,63,6,EA,E,PS2,0
SingStar '80s,Misc,2005,Sony Computer Entertainment,1.3,78,8.3,EA,T,PS2,13
Assassin's Creed Syndicate,Action,2015,Ubisoft,1.3,78,6.1,Ubisoft,M,XOne,17
